"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Auckland","All","All","All","All","All","All","All","All","All",FALSE,"0.086","0.049","0.140","  5,000","  2,000","  8,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Counties Manukau","All","All","All","All","All","All","All","All","All",FALSE,"0.118","0.083","0.161"," 10,000","  6,000"," 15,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Waikato","All","All","All","All","All","All","All","All","All",FALSE,"0.121","0.085","0.166"," 10,000","  6,000"," 14,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Lakes","All","All","All","All","All","All","All","All","All",FALSE,"0.183","0.123","0.256","  4,000","  2,000","  7,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Bay of Plenty","All","All","All","All","All","All","All","All","All",FALSE,"0.131","0.096","0.173","  6,000","  4,000","  9,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Tairāwhiti","All","All","All","All","All","All","All","All","All",FALSE,"0.135","0.067","0.233","  2,000","  1,000","  3,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Taranaki","All","All","All","All","All","All","All","All","All",FALSE,"0.140","0.076","0.227","  3,000","  1,000","  5,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Hawke's Bay","All","All","All","All","All","All","All","All","All",FALSE,"0.133","0.064","0.233","  4,000","  1,000","  8,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Whanganui","All","All","All","All","All","All","All","All","All",FALSE,"0.129","0.068","0.216","  1,000","      0","  2,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","MidCentral","All","All","All","All","All","All","All","All","All",FALSE,"0.128","0.075","0.199","  4,000","  2,000","  7,000",NA,NA,NA,"None"
