"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","disability","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Nelson Region","All","Female","All","All","All","All","All","All","All",FALSE,"0.561","0.479"," 0.640","   14,000","    7,000","   22,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Northland Region","All","Male","All","All","All","All","All","All","All",FALSE,"0.420","0.361"," 0.480","   27,000","   16,000","   37,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Northland Region","All","Female","All","All","All","All","All","All","All",FALSE,"0.525","0.469"," 0.581","   45,000","   26,000","   64,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Otago Region","All","Male","All","All","All","All","All","All","All",FALSE,"0.454","0.389"," 0.519","   40,000","   23,000","   57,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Otago Region","All","Female","All","All","All","All","All","All","All",FALSE,"0.493","0.423"," 0.564","   41,000","   25,000","   57,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Southland Region","All","Male","All","All","All","All","All","All","All",FALSE,"0.409","0.337"," 0.483","   23,000","   10,000","   35,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Southland Region","All","Female","All","All","All","All","All","All","All",FALSE,"0.515","0.414"," 0.616","   26,000","   12,000","   40,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Taranaki Region","All","Male","All","All","All","All","All","All","All",FALSE,"0.328","0.265"," 0.395","   17,000","    9,000","   25,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Taranaki Region","All","Female","All","All","All","All","All","All","All",FALSE,"0.528","0.484"," 0.572","   36,000","   20,000","   51,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Tasman Region","All","Male","All","All","All","All","All","All","All",FALSE,"0.603","0.469"," 0.727","   14,000","    6,000","   22,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Tasman Region","All","Female","All","All","All","All","All","All","All",FALSE,"0.669","0.596"," 0.736","   16,000","    6,000","   26,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Waikato Region","All","Male","All","All","All","All","All","All","All",FALSE,"0.394","0.362"," 0.426","   80,000","   56,000","  104,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Waikato Region","All","Female","All","All","All","All","All","All","All",FALSE,"0.501","0.457"," 0.544","  102,000","   73,000","  131,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Wellington Region","All","Male","All","All","All","All","All","All","All",FALSE,"0.446","0.402"," 0.490","  117,000","   88,000","  146,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Wellington Region","All","Female","All","All","All","All","All","All","All",FALSE,"0.513","0.473"," 0.554","  128,000","   98,000","  159,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","West Coast Region","All","Male","All","All","All","All","All","All","All",FALSE,"0.433","0.321"," 0.551","    4,000","    2,000","    7,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","West Coast Region","All","Female","All","All","All","All","All","All","All",FALSE,"0.597","0.517"," 0.674","    8,000","    2,000","   15,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","15-24","All","All","All","All","All","All",FALSE,"0.476","0.423"," 0.529","  119,000","  102,000","  136,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","25-34","All","All","All","All","All","All",FALSE,"0.402","0.366"," 0.439","  118,000","  103,000","  133,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","35-44","All","All","All","All","All","All",FALSE,"0.410","0.371"," 0.449","  105,000","   90,000","  119,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","45-54","All","All","All","All","All","All",FALSE,"0.425","0.381"," 0.470","   96,000","   81,000","  110,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","55-64","All","All","All","All","All","All",FALSE,"0.470","0.428"," 0.513","   94,000","   82,000","  106,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","65-74","All","All","All","All","All","All",FALSE,"0.543","0.492"," 0.594","   75,000","   65,000","   85,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","75+","All","All","All","All","All","All",FALSE,"0.638","0.593"," 0.682","   68,000","   54,000","   82,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","15-24","All","All","All","All","All","All",FALSE,"0.432","0.377"," 0.489","   57,000","   46,000","   68,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","25-34","All","All","All","All","All","All",FALSE,"0.414","0.375"," 0.455","   56,000","   48,000","   65,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","35-44","All","All","All","All","All","All",FALSE,"0.400","0.353"," 0.447","   51,000","   42,000","   61,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","45-54","All","All","All","All","All","All",FALSE,"0.416","0.365"," 0.467","   52,000","   44,000","   61,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","55-64","All","All","All","All","All","All",FALSE,"0.426","0.389"," 0.464","   51,000","   44,000","   58,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","65-74","All","All","All","All","All","All",FALSE,"0.557","0.514"," 0.599","   60,000","   51,000","   68,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","75+","All","All","All","All","All","All",FALSE,"0.534","0.486"," 0.582","   57,000","   46,000","   68,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","15-24","All","All","All","All","All","All",FALSE,"0.398","0.330"," 0.469","   55,000","   39,000","   70,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","25-34","All","All","All","All","All","All",FALSE,"0.413","0.360"," 0.467","   64,000","   53,000","   74,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","35-44","All","All","All","All","All","All",FALSE,"0.490","0.448"," 0.533","   73,000","   61,000","   85,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","45-54","All","All","All","All","All","All",FALSE,"0.517","0.467"," 0.567","   72,000","   60,000","   84,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","55-64","All","All","All","All","All","All",FALSE,"0.437","0.397"," 0.478","   55,000","   47,000","   63,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","65-74","All","All","All","All","All","All",FALSE,"0.540","0.489"," 0.590","   51,000","   43,000","   59,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","75+","All","All","All","All","All","All",FALSE,"0.592","0.535"," 0.647","   41,000","   33,000","   48,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","15-24","All","All","All","All","All","All",FALSE,"0.449","0.381"," 0.518","   59,000","   45,000","   73,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","25-34","All","All","All","All","All","All",FALSE,"0.446","0.397"," 0.496","   77,000","   64,000","   90,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","35-44","All","All","All","All","All","All",FALSE,"0.477","0.430"," 0.524","   74,000","   63,000","   86,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","45-54","All","All","All","All","All","All",FALSE,"0.472","0.413"," 0.531","   75,000","   61,000","   89,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","55-64","All","All","All","All","All","All",FALSE,"0.486","0.434"," 0.538","   88,000","   76,000","  101,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","65-74","All","All","All","All","All","All",FALSE,"0.609","0.564"," 0.652","   87,000","   74,000","  100,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","75+","All","All","All","All","All","All",FALSE,"0.620","0.570"," 0.668","   56,000","   47,000","   66,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Auckland Region","All","All","15-24","All","All","All","All","All","All",FALSE,"0.475","0.420"," 0.531","  111,000","   93,000","  129,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Auckland Region","All","All","25-34","All","All","All","All","All","All",FALSE,"0.394","0.358"," 0.432","  105,000","   91,000","  119,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Auckland Region","All","All","35-44","All","All","All","All","All","All",FALSE,"0.407","0.365"," 0.449","   95,000","   80,000","  110,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Auckland Region","All","All","45-54","All","All","All","All","All","All",FALSE,"0.425","0.379"," 0.472","   84,000","   70,000","   98,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Auckland Region","All","All","55-64","All","All","All","All","All","All",FALSE,"0.462","0.416"," 0.509","   78,000","   66,000","   89,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Auckland Region","All","All","65-74","All","All","All","All","All","All",FALSE,"0.556","0.497"," 0.613","   62,000","   51,000","   73,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Auckland Region","All","All","75+","All","All","All","All","All","All",FALSE,"0.641","0.589"," 0.691","   56,000","   40,000","   71,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Bay of Plenty Region","All","All","15-24","All","All","All","All","All","All",FALSE,"0.462","0.358"," 0.569","   23,000","   14,000","   31,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Bay of Plenty Region","All","All","25-34","All","All","All","All","All","All",FALSE,"0.453","0.387"," 0.520","   21,000","   14,000","   28,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Bay of Plenty Region","All","All","35-44","All","All","All","All","All","All",FALSE,"0.338","0.273"," 0.408","   14,000","    9,000","   18,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Bay of Plenty Region","All","All","45-54","All","All","All","All","All","All",FALSE,"0.434","0.345"," 0.526","   20,000","   14,000","   27,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Bay of Plenty Region","All","All","55-64","All","All","All","All","All","All",FALSE,"0.432","0.367"," 0.498","   18,000","   12,000","   24,000",NA,NA,NA,"None"
